weight,description,dueDate,assignedDate,title
18.67,"Drainage of Sacrococcygeal Joint, Open Approach",14.05.2021,19.11.2020,Job
47.89,"Resection of Right Lacrimal Duct, Via Natural or Artificial Opening",06.12.2020,04.11.2020,Redhold
96.48,"Bypass Middle Esophagus to Jejunum with Synthetic Substitute, Percutaneous Endoscopic Approach",21.02.2021,08.05.2020,Tresom
2.72,"Dilation of Left Thyroid Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach",22.02.2020,01.12.2020,Voyatouch
74.51,"Reattachment of Left Upper Arm Tendon, Percutaneous Endoscopic Approach",24.02.2020,18.01.2021,Otcom
30.44,"Bypass Coronary Artery, Two Arteries from Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach",13.07.2019,11.12.2019,Rank
5.64,"Reattachment of Left Diaphragm, Open Approach",02.12.2019,10.10.2020,Keylex
32.64,"Removal of Nonautologous Tissue Substitute from Right Sacroiliac Joint, Open Approach",28.03.2021,24.05.2020,Lotlux
13.21,"Insertion of Internal Fixation Device into Coccyx, Open Approach",08.05.2021,19.11.2019,Konklux
54.2,"Resection of Atrial Septum, Open Approach",14.11.2019,03.04.2020,Bigtax
9.23,"Bypass Left Atrium to Left Pulmonary Vein with Zooplastic Tissue, Percutaneous Endoscopic Approach",23.07.2019,01.08.2020,Tampflex
46.14,"Repair Right Lower Arm Subcutaneous Tissue and Fascia, Percutaneous Approach",13.05.2020,27.05.2020,Latlux
98.29,Masking Patterns Assessment using Sound Field / Booth,10.07.2019,01.12.2019,Viva
67.69,"Destruction of Right Common Iliac Artery, Open Approach",10.02.2021,20.01.2020,Pannier
33.75,"Drainage of Bilateral Spermatic Cords, Percutaneous Endoscopic Approach",29.04.2021,17.09.2020,It
82.91,"Reposition Right Tympanic Membrane, Open Approach",04.10.2020,17.10.2020,Job
24.23,"Release Left Lower Leg Subcutaneous Tissue and Fascia, Open Approach",02.04.2021,24.12.2019,Namfix
3.67,"Drainage of Basal Ganglia, Percutaneous Approach, Diagnostic",13.04.2020,24.10.2019,Sonsing
19.22,"Bypass Upper Esophagus to Ileum, Via Natural or Artificial Opening Endoscopic",22.09.2019,02.10.2020,Veribet
92.61,"Drainage of Hypothalamus, Percutaneous Endoscopic Approach",23.03.2021,27.12.2019,Voltsillam
99.34,"Bypass Cerebral Ventricle to Blood Vessel with Autologous Tissue Substitute, Percutaneous Approach",02.07.2019,11.02.2020,Cardguard
12.76,"Drainage of Dura Mater, Open Approach, Diagnostic",29.03.2021,20.11.2020,Fintone
23.81,Fluoroscopy of Pancreatic Ducts using Low Osmolar Contrast,12.02.2020,28.02.2020,Voyatouch
88.03,Hyperthermia of Skull,16.07.2020,02.06.2020,Pannier
78.12,"Replacement of Right Rib with Autologous Tissue Substitute, Percutaneous Endoscopic Approach",28.11.2020,06.01.2020,Tampflex
75.63,"Eye, Reattachment",11.09.2019,09.11.2020,Cookley
47.39,"Destruction of Nose, Percutaneous Approach",07.04.2020,04.09.2020,Konklux
62.04,"Resection of Right Hip Muscle, Percutaneous Endoscopic Approach",13.08.2020,28.08.2020,Fixflex
79.01,"Repair Right Lung, Via Natural or Artificial Opening Endoscopic",28.12.2019,26.12.2019,Asoka
71.91,"Excision of Right Subclavian Artery, Open Approach",28.08.2019,22.03.2021,Subin
36.63,"Transfusion of Autologous Platelets into Central Artery, Percutaneous Approach",09.07.2020,09.11.2020,Zathin
52.56,Beam Radiation of Brain using Neutrons,22.06.2019,16.06.2020,Zontrax
90.18,"Restriction of Right Upper Lobe Bronchus, Via Natural or Artificial Opening Endoscopic",16.07.2020,15.10.2020,Regrant
82.87,"Bypass Thoracic Aorta, Ascending/Arch to Right Pulmonary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach",06.12.2019,25.01.2020,Namfix
39.73,"Removal of Nonautologous Tissue Substitute from Right Femoral Shaft, Percutaneous Endoscopic Approach",18.03.2020,19.12.2020,Temp
97.38,"Restriction of Right Thyroid Artery with Extraluminal Device, Percutaneous Endoscopic Approach",09.08.2020,28.11.2020,Redhold
38.42,"Head and Facial Bones, Repair",12.03.2021,19.08.2020,Konklux
70.77,"Revision of Synthetic Substitute in Right Ear, External Approach",03.10.2019,17.08.2020,Overhold
53.55,Beam Radiation of Urethra using Photons <1 MeV,29.07.2019,06.12.2020,Keylex
16.17,"Excision of Right Frontal Sinus, Percutaneous Endoscopic Approach",11.09.2019,23.05.2020,Alpha
9.79,"Supplement Superior Mesenteric Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",06.01.2020,05.11.2020,Keylex
46.94,Removal of Pressure Dressing on Left Inguinal Region,05.11.2020,15.02.2021,Ventosanzap
89.34,"Dilation of Abdominal Aorta, Bifurcation, with Two Intraluminal Devices, Open Approach",04.08.2019,28.09.2020,Home Ing
29.67,Tomographic (Tomo) Nuclear Medicine Imaging of Endocrine System using Other Radionuclide,25.08.2019,08.11.2019,Domainer
90.91,"Drainage of Left Ovary, Percutaneous Approach, Diagnostic",14.09.2019,04.01.2021,Veribet
97.61,"Drainage of Left Hypogastric Vein, Percutaneous Approach",21.05.2021,29.04.2021,Daltfresh
19.29,"Transfer Left Upper Arm Subcutaneous Tissue and Fascia, Open Approach",01.12.2020,17.04.2020,Greenlam
5.44,"Restriction of Left Greater Saphenous Vein with Extraluminal Device, Percutaneous Endoscopic Approach",08.01.2020,02.02.2020,Matsoft
70.92,"Reposition Cervical Plexus, Percutaneous Endoscopic Approach",11.12.2019,06.10.2019,Solarbreeze
83.35,"Repair Left Upper Arm, Percutaneous Approach",19.11.2019,27.12.2019,Viva
30.59,"Insertion of Radioactive Element into Rectum, Percutaneous Endoscopic Approach",31.01.2020,07.05.2021,Hatity
74.85,Removal of Pressure Dressing on Right Hand,25.12.2019,25.08.2020,Alpha
81.75,"Occlusion of Left Hepatic Duct, Via Natural or Artificial Opening",26.09.2019,13.10.2019,Home Ing
71.44,"Revision of Drainage Device in Thoracic Vertebral Joint, External Approach",16.05.2019,13.12.2020,Voyatouch
97.13,"Bypass Superior Vena Cava to Pulmonary Trunk with Zooplastic Tissue, Percutaneous Endoscopic Approach",17.05.2021,16.01.2021,Konklux
33.76,"Dilation of Right Anterior Tibial Artery with Intraluminal Device, Percutaneous Approach",31.01.2020,09.03.2020,Alphazap
26.78,"Removal of Synthetic Substitute from Right Ear, Via Natural or Artificial Opening Endoscopic",27.06.2019,28.04.2021,Hatity
86.33,Computerized Tomography (CT Scan) of Left Hip using Low Osmolar Contrast,26.09.2019,17.04.2021,Greenlam
41.04,"Extirpation of Matter from Coccygeal Joint, Percutaneous Approach",29.08.2020,12.08.2020,Keylex
97.23,"Reposition Right Fibula with Internal Fixation Device, Percutaneous Approach",02.02.2020,01.12.2020,Hatity
80.63,"Revision of Contraceptive Device in Uterus and Cervix, Percutaneous Endoscopic Approach",15.07.2020,04.06.2020,Zontrax
71.07,"Drainage of Right Acetabulum, Open Approach",05.04.2020,09.12.2019,Tempsoft
17.69,"Computerized Tomography (CT Scan) of Bilateral Renal Veins using Other Contrast, Unenhanced and Enhanced",19.04.2021,13.03.2021,Latlux
11.13,"Removal of Synthetic Substitute from Right Ulna, Open Approach",29.06.2020,30.12.2019,Flexidy
44.69,"Replacement of Chest Subcutaneous Tissue and Fascia with Nonautologous Tissue Substitute, Percutaneous Approach",19.11.2020,02.11.2020,Regrant
31.44,"Repair Coccyx, External Approach",30.12.2020,03.02.2021,Redhold
95.48,"Replacement of Right Glenoid Cavity with Nonautologous Tissue Substitute, Percutaneous Approach",01.01.2020,07.03.2021,Veribet
56.51,"Removal of Internal Fixation Device from Left Knee Joint, Percutaneous Endoscopic Approach",28.07.2020,19.03.2021,Daltfresh
37.27,"Bypass Coronary Artery, Four or More Arteries from Left Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",01.04.2020,31.01.2020,Duobam
95.4,"Revision of Extraluminal Device in Stomach, Percutaneous Endoscopic Approach",02.04.2021,18.02.2020,Holdlamis
49.44,"Occlusion of Left Face Vein, Percutaneous Approach",09.01.2021,14.10.2020,Konklux
63.91,"Removal of Autologous Tissue Substitute from Lumbar Vertebral Disc, Open Approach",10.05.2020,08.03.2021,Voyatouch
80.73,"Occlusion of Left External Jugular Vein with Intraluminal Device, Percutaneous Endoscopic Approach",25.01.2021,17.03.2021,Fix San
42.58,"Restriction of Left Ureter, Open Approach",16.01.2020,20.10.2019,Tin
96,"Revision of Synthetic Substitute in Right Humeral Head, External Approach",11.12.2020,17.10.2020,Transcof
93.44,"Supplement Right Femoral Artery with Synthetic Substitute, Open Approach",12.10.2020,18.04.2020,Prodder
51.29,"Destruction of Left Tibia, Percutaneous Approach",28.05.2019,18.05.2020,Keylex
92.31,"Excision of Conduction Mechanism, Percutaneous Approach",04.08.2020,06.08.2020,Ronstring
89.79,High Dose Rate (HDR) Brachytherapy of Abdomen Lymphatics using Californium 252 (Cf-252),08.10.2019,13.02.2021,Lotlux
56.42,"Excision of Right Carpal, Open Approach",14.12.2020,23.04.2020,Job
24.62,"Bypass Descending Colon to Cutaneous with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic",22.05.2021,10.08.2020,Konklab
64.55,"Occlusion of Ileum with Intraluminal Device, Percutaneous Approach",06.03.2020,27.10.2019,Pannier
56.15,"Removal of Internal Fixation Device from Right Upper Femur, Percutaneous Endoscopic Approach",02.03.2020,25.08.2020,Home Ing
4.7,"Dilation of Face Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach",24.06.2019,02.05.2021,Treeflex
55.72,"Division of Right Pelvic Bone, Percutaneous Approach",05.08.2019,03.11.2020,Bitchip
17.82,"Release Tibial Nerve, Open Approach",13.04.2021,08.03.2021,Konklux
83.87,"Dilation of Right Renal Vein with Intraluminal Device, Percutaneous Approach",13.10.2019,11.09.2020,Voltsillam
7.94,Computerized Tomography (CT Scan) of Intracranial Arteries using High Osmolar Contrast,08.02.2021,28.12.2020,Kanlam
18.91,"Occlusion of Gastric Vein with Intraluminal Device, Percutaneous Approach",23.11.2019,30.10.2019,Solarbreeze
84.35,"Destruction of Bladder Neck, Via Natural or Artificial Opening",15.06.2019,25.06.2020,Sonsing
12.7,"Drainage of Nose with Drainage Device, Percutaneous Endoscopic Approach",06.12.2019,17.06.2020,Biodex
77.01,"Destruction of Right Shoulder Tendon, Percutaneous Endoscopic Approach",16.03.2021,08.05.2021,Y-find
19.27,"Replacement of Left Cephalic Vein with Autologous Tissue Substitute, Percutaneous Endoscopic Approach",09.02.2020,12.03.2020,Vagram
34.75,"Respiratory System, Extirpation",05.07.2020,11.03.2020,Y-Solowarm
86.23,"Control Bleeding in Left Elbow Region, Percutaneous Endoscopic Approach",03.12.2020,28.04.2021,Duobam
95.87,"Irrigation of Respiratory Tract using Irrigating Substance, Percutaneous Approach, Diagnostic",15.07.2019,05.06.2020,Home Ing
64.04,"Bypass Descending Colon to Rectum, Via Natural or Artificial Opening Endoscopic",18.09.2020,13.12.2020,Pannier
23.46,"Drainage of Head Lymphatic with Drainage Device, Percutaneous Endoscopic Approach",27.01.2021,16.11.2020,Toughjoyfax
95.26,"Insertion of Radioactive Element into Left Ankle Region, Open Approach",25.02.2020,25.03.2020,Lotstring
46.08,"Drainage of Duodenum, Open Approach",30.05.2020,18.10.2019,Tres-Zap
14.77,"Removal of Drainage Device from Face, Open Approach",25.03.2020,25.09.2020,Sonair
85.37,Beam Radiation of Soft Palate using Photons 1 - 10 MeV,06.04.2021,04.01.2021,Cardguard
40.5,"Dilation of Accessory Pancreatic Duct, Via Natural or Artificial Opening",28.01.2021,11.10.2019,Daltfresh
77.9,"Removal of Autologous Tissue Substitute from Left Metacarpal, Percutaneous Endoscopic Approach",04.09.2019,09.10.2020,Sonsing
63.87,"Postural Control Treatment of Integumentary System - Whole Body using Assistive, Adaptive, Supportive or Protective Equipment",18.07.2020,10.06.2020,Zathin
95.19,"Supplement Left Vertebral Artery with Synthetic Substitute, Percutaneous Endoscopic Approach",24.01.2020,07.11.2020,Asoka
29.03,"Imaging, Non-Axial Lower Bones, Plain Radiography",29.01.2020,23.03.2021,Cardguard
93.6,"Replacement of Right Hand Tendon with Autologous Tissue Substitute, Open Approach",20.09.2019,26.08.2020,Zontrax
22.83,"Bypass Right Common Iliac Artery to Bilateral Femoral Arteries with Synthetic Substitute, Open Approach",28.06.2020,25.07.2020,Stronghold
21.23,"Drainage of Left Knee Joint with Drainage Device, Percutaneous Approach",30.12.2019,08.08.2020,Konklux
47.51,"Excision of Left Lower Extremity, Percutaneous Endoscopic Approach, Diagnostic",12.05.2020,16.10.2019,Sub-Ex
46.62,"Bypass Innominate Artery to Left Lower Leg Artery with Nonautologous Tissue Substitute, Open Approach",07.05.2021,09.02.2020,Span
50.37,"Drainage of Greater Omentum with Drainage Device, Percutaneous Endoscopic Approach",07.09.2019,01.09.2020,Lotlux
62.35,"Replacement of Right Occipital Bone with Synthetic Substitute, Percutaneous Approach",18.05.2019,09.03.2021,Keylex
36.94,Beam Radiation of Rectum using Neutron Capture,08.05.2019,10.07.2020,It
64.91,"Dilation of Left Common Iliac Artery, Open Approach",24.07.2020,31.08.2020,Regrant
46.74,"Physical Rehabilitation and Diagnostic Audiology, Rehabilitation, Speech Treatment",28.07.2019,14.03.2020,Vagram
74.46,"Excision of Left Scapula, Percutaneous Endoscopic Approach",15.01.2021,21.01.2020,Flexidy
66.51,"Revision of Autologous Tissue Substitute in Tricuspid Valve, Open Approach",21.03.2020,16.03.2020,Tresom
9.82,"Bypass Right Common Iliac Artery to Abdominal Aorta with Autologous Arterial Tissue, Open Approach",18.03.2021,30.03.2020,Hatity
41.05,"Bypass Abdominal Aorta to Right Renal Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach",07.10.2019,09.10.2020,Cardify
7.84,"Removal of Autologous Tissue Substitute from Right Lower Extremity, Open Approach",04.12.2019,15.03.2021,Ventosanzap
82.95,"Division of Left Ulna, Percutaneous Approach",22.05.2021,12.04.2020,Tempsoft
41.5,"Drainage of Left Thyroid Artery, Percutaneous Approach",17.10.2020,14.01.2021,Kanlam
25.16,"Excision of Neck, External Approach",05.06.2020,14.06.2020,Temp
1.69,"Drainage of Right Metatarsal-Phalangeal Joint, Percutaneous Approach, Diagnostic",17.12.2020,23.06.2020,Zontrax
23.88,"Introduction of Electrolytic and Water Balance Substance into Male Reproductive, Via Natural or Artificial Opening",05.09.2019,12.06.2020,Daltfresh
53.27,"Restriction of Right Hypogastric Vein, Percutaneous Approach",26.05.2020,09.12.2020,Voltsillam
11.68,"Extirpation of Matter from Right Knee Joint, Percutaneous Endoscopic Approach",21.08.2019,08.10.2019,Solarbreeze
20.96,Fluoroscopy of Inferior Vena Cava,31.05.2019,13.12.2020,It
97.09,"Occlusion of Right Radial Artery with Extraluminal Device, Open Approach",05.03.2021,16.03.2021,Cookley
15.55,"Revision of Infusion Device in Brain, Percutaneous Approach",26.07.2019,28.04.2020,Greenlam
70.43,Computerized Tomography (CT Scan) of Right Hand/Finger Joint,31.01.2021,13.01.2021,Cardify
20.18,"Restriction of Right Internal Carotid Artery, Percutaneous Endoscopic Approach",26.10.2019,30.01.2021,Trippledex
63.91,"Introduction of Platelet Inhibitor into Heart, Percutaneous Approach",04.08.2019,27.11.2019,Span
51.51,"Drainage of Left Lower Lung Lobe with Drainage Device, Via Natural or Artificial Opening Endoscopic",20.12.2020,16.12.2019,Pannier
40.52,"Revision of Infusion Device in Lower Extremity Subcutaneous Tissue and Fascia, External Approach",02.07.2020,02.02.2021,Subin
37.02,Pain Assessment,26.07.2019,08.09.2020,Opela
20.28,"Replacement of Right Metacarpal with Autologous Tissue Substitute, Percutaneous Approach",28.06.2019,12.05.2020,Y-Solowarm
52.79,"Dilation of Ileocecal Valve, Open Approach",20.10.2019,01.09.2020,Voltsillam
99.67,"Extirpation of Matter from Intracranial Artery, Percutaneous Approach",14.05.2020,14.07.2020,Sonair
50.29,"Excision of Right Lower Lung Lobe, Via Natural or Artificial Opening, Diagnostic",20.08.2019,20.02.2020,Fintone
20.31,Tomographic (Tomo) Nuclear Medicine Imaging of Gallbladder using Other Radionuclide,21.10.2020,03.12.2020,Opela
47.93,"Excision of Neck Skin, External Approach",11.12.2019,01.06.2020,Fintone
47.49,"Division of Left Foot Bursa and Ligament, Percutaneous Approach",17.11.2019,21.07.2020,Latlux
49.88,"Excision of Left Sphenoid Sinus, Percutaneous Approach",06.08.2020,13.10.2019,Sonair
23.34,"Drainage of Perineum Muscle, Open Approach, Diagnostic",18.07.2019,02.03.2021,Y-find
97.77,"Restriction of Superior Mesenteric Artery with Extraluminal Device, Percutaneous Approach",28.03.2020,08.03.2020,Flexidy
16.98,"Repair Head Muscle, Percutaneous Endoscopic Approach",28.02.2021,09.01.2020,Tresom
10.73,"Release Nasopharynx, Percutaneous Approach",23.03.2020,13.03.2021,Pannier
3.45,Beam Radiation of Nose using Electrons,05.08.2020,20.02.2020,Span
38.25,"Release Cervical Plexus, Percutaneous Approach",28.09.2020,11.10.2019,Stronghold
28.35,Muscle Performance Assessment of Integumentary System - Lower Back / Lower Extremity using Prosthesis,23.09.2019,01.12.2019,Home Ing
42.39,"Extirpation of Matter from Buccal Mucosa, Percutaneous Approach",30.06.2019,07.03.2021,Stronghold
99.71,"Destruction of Left Trunk Muscle, Open Approach",28.01.2020,13.05.2021,Zamit
33.78,"Extirpation of Matter from Left Internal Mammary Artery, Bifurcation, Percutaneous Endoscopic Approach",04.08.2020,26.07.2020,Quo Lux
57.94,"Drainage of Right Knee Bursa and Ligament with Drainage Device, Open Approach",12.11.2020,19.12.2019,Bamity
62.16,"Insertion of Monitoring Device into Cerebral Ventricle, Percutaneous Approach",30.06.2019,31.12.2020,Overhold
74.49,"Revision of Extraluminal Device in Kidney, Open Approach",02.05.2021,14.12.2019,Zontrax
79.26,"Inspection of Nasal Bone, Percutaneous Approach",21.03.2020,26.02.2020,Pannier
53.17,"Dilation of Upper Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach",15.12.2019,06.04.2020,Fixflex
38.65,"Excision of Left Lower Arm and Wrist Muscle, Percutaneous Approach, Diagnostic",29.08.2019,21.02.2020,Bitwolf
82.51,"Extirpation of Matter from Esophageal Vein, Percutaneous Approach",04.12.2020,18.08.2020,Namfix
59.81,"Revision of Synthetic Substitute in Chest Wall, Open Approach",12.12.2020,01.03.2021,Zoolab
96.4,"Drainage of Bilateral Spermatic Cords, Percutaneous Endoscopic Approach, Diagnostic",28.11.2019,20.02.2021,Stronghold
10.39,"Insertion of Other Device into Lower Back, Open Approach",17.09.2019,11.03.2020,Wrapsafe
19.18,"Dilation of Bilateral Vas Deferens, Percutaneous Approach",07.12.2019,09.09.2020,Flowdesk
51.8,Magnetic Resonance Imaging (MRI) of Right Upper Arm,27.06.2019,18.02.2021,Span
27.42,"Removal of Synthetic Substitute from Left Humeral Head, Percutaneous Endoscopic Approach",23.12.2019,22.01.2021,Ventosanzap
38.52,"Extirpation of Matter from Right Common Iliac Artery, Bifurcation, Percutaneous Approach",17.02.2021,23.06.2020,Cardify
53.44,"Dilation of Coronary Artery, One Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach",26.07.2020,05.03.2021,Biodex
92.42,"Repair Coccygeal Joint, Percutaneous Endoscopic Approach",14.03.2021,29.11.2019,Wrapsafe
13.54,"Reattachment of Right Femoral Region, Open Approach",24.10.2020,03.04.2021,Rank
3.23,"Fusion of Left Hip Joint with External Fixation Device, Open Approach",04.01.2020,14.01.2020,Home Ing
32.74,"Occlusion of Small Intestine with Extraluminal Device, Percutaneous Approach",09.06.2019,12.04.2020,Vagram
97.43,"Removal of Spacer from Right Metatarsal-Tarsal Joint, Percutaneous Endoscopic Approach",27.02.2021,03.03.2020,Zontrax
41.53,"Release Spinal Meninges, Percutaneous Approach",27.01.2021,13.12.2019,Zaam-Dox
51.07,"Drainage of Right Extraocular Muscle, Open Approach",25.03.2021,19.11.2020,Lotstring
28.12,Plain Radiography of Bilateral Pelvic (Iliac) Veins using Other Contrast,09.11.2020,05.10.2020,Duobam
73.89,"Bypass Left Popliteal Artery to Lower Extremity Vein with Nonautologous Tissue Substitute, Open Approach",22.12.2019,07.03.2020,Quo Lux
3,"Reposition Left Finger Phalangeal Joint, External Approach",03.08.2020,10.08.2020,Hatity
76.52,"Excision of Cervical Plexus, Percutaneous Approach, Diagnostic",08.02.2020,19.01.2021,Zaam-Dox
4.77,"Removal of Nonautologous Tissue Substitute from Left Eye, Percutaneous Approach",15.03.2021,01.03.2021,Gembucket
93.84,Low Dose Rate (LDR) Brachytherapy of Colon using Californium 252 (Cf-252),15.08.2019,04.07.2020,Bamity
24.11,"Excision of Right Atrium, Open Approach, Diagnostic",05.08.2020,14.05.2021,Zoolab
13.35,"Excision of Left Finger Phalanx, Open Approach, Diagnostic",10.12.2020,15.12.2020,Domainer
12.82,"Revision of Autologous Tissue Substitute in Right Metatarsal-Phalangeal Joint, Percutaneous Approach",13.10.2019,21.04.2021,Asoka
75.6,"Insertion of Radioactive Element into Head, Open Approach",24.01.2021,06.05.2021,Zoolab
35.97,"Revision of Monitoring Device in Brain, Percutaneous Approach",03.09.2019,14.02.2021,Quo Lux
94.38,"Dilation of Left Anterior Tibial Artery, Bifurcation, with Three Intraluminal Devices, Open Approach",22.12.2019,01.01.2021,Wrapsafe
60.09,"Extirpation of Matter from Sigmoid Colon, Percutaneous Approach",23.09.2020,13.04.2020,Toughjoyfax
76.8,"Reposition Sciatic Nerve, Percutaneous Approach",13.06.2020,06.08.2020,Tempsoft
6.66,Computerized Tomography (CT Scan) of Right Hand using Other Contrast,09.02.2020,04.05.2021,It
10.22,Low Dose Rate (LDR) Brachytherapy of Spleen using Iridium 192 (Ir-192),02.06.2020,28.04.2021,Zontrax
97.66,"Dilation of Left Internal Carotid Artery, Bifurcation, Percutaneous Endoscopic Approach",21.11.2020,28.07.2020,Bamity
61.18,"Release Conduction Mechanism, Open Approach",29.12.2020,15.11.2020,Bytecard
91.32,"Supplement Right Greater Saphenous Vein with Synthetic Substitute, Percutaneous Approach",02.11.2020,14.12.2019,Veribet
96.82,"Extirpation of Matter from Sigmoid Colon, Via Natural or Artificial Opening",26.09.2020,12.01.2020,Regrant
40.66,"Drainage of Right Thorax Bursa and Ligament, Open Approach, Diagnostic",15.12.2019,11.01.2021,Voyatouch
49.35,"Inspection of Right Acromioclavicular Joint, Percutaneous Endoscopic Approach",20.02.2021,19.03.2020,Cardguard
18.92,"Inspection of Thoracolumbar Vertebral Disc, Percutaneous Endoscopic Approach",03.08.2019,02.08.2020,It
74.87,"Removal of Autologous Tissue Substitute from Lower Muscle, Percutaneous Endoscopic Approach",13.11.2020,28.10.2019,Biodex
78.37,Removal of Pressure Dressing on Left Upper Leg,18.03.2021,24.11.2019,Alphazap
91.75,"Repair Aortic Lymphatic, Percutaneous Endoscopic Approach",04.08.2019,29.04.2020,Alpha
73.97,"Excision of Left Brachial Vein, Percutaneous Endoscopic Approach, Diagnostic",04.07.2019,09.09.2020,Quo Lux
21.45,"Excision of Posterior Neck Subcutaneous Tissue and Fascia, Open Approach, Diagnostic",30.08.2020,23.12.2019,Konklab
96.68,"Restriction of Left Pulmonary Vein with Intraluminal Device, Open Approach",12.02.2021,28.09.2020,Solarbreeze
20.52,"Extirpation of Matter from Right Anterior Tibial Artery, Bifurcation, Percutaneous Approach",25.03.2020,26.01.2020,Vagram
45.72,"Supplement Left Trunk Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach",20.01.2020,12.05.2021,Tin
25.44,"Fluoroscopy of Bilateral Upper Extremity Veins, Guidance",18.09.2020,09.08.2020,Tres-Zap
23.37,"Drainage of Left Upper Eyelid with Drainage Device, Percutaneous Approach",22.11.2020,13.02.2021,Prodder
38.43,"Replacement of Upper Gingiva with Autologous Tissue Substitute, External Approach",03.08.2019,29.07.2020,Konklab
45.04,"Replacement of Right Hand Skin with Synthetic Substitute, External Approach",24.04.2020,14.09.2020,Andalax
20.83,"Destruction of Bilateral Seminal Vesicles, Percutaneous Endoscopic Approach",17.01.2021,27.11.2019,Y-Solowarm
49.83,Plain Radiography of Right Lower Extremity Arteries using Other Contrast,12.03.2020,18.07.2020,Y-Solowarm
95.88,"Inspection of Kidney, External Approach",11.05.2019,13.03.2020,Konklux
67.31,"Drainage of Right Temporal Artery with Drainage Device, Percutaneous Approach",13.11.2019,18.08.2020,Stim
16.13,"Reposition Left Elbow Joint, Percutaneous Approach",27.11.2020,05.06.2020,Tampflex
45.58,Beam Radiation of Pancreas using Photons >10 MeV,06.02.2021,14.12.2019,Hatity
25.4,"Introduction of Local Anesthetic into Male Reproductive, Via Natural or Artificial Opening Endoscopic",01.03.2020,06.11.2019,Lotlux
18.83,"Revision of Nonautologous Tissue Substitute in Cervical Vertebral Disc, Open Approach",11.03.2020,24.12.2019,Voltsillam
84.72,"Revision of Nonautologous Tissue Substitute in Upper Bursa and Ligament, Open Approach",16.07.2019,16.11.2020,Trippledex
89.86,Range of Motion and Joint Integrity Assessment of Musculoskeletal System - Head and Neck using Other Equipment,05.03.2020,07.02.2021,Greenlam
14.45,"Removal of Cardiac Lead from Heart, Percutaneous Endoscopic Approach",07.10.2019,23.09.2020,Bitchip
99.65,"Extirpation of Matter from Left Thyroid Artery, Percutaneous Approach",08.02.2021,12.01.2021,Lotstring
